Species,Number,,Guide,Recorder,Lat,Long,Time,GPS Label,Obs-Anml Dist,Angle,Angle Radians,Perp,Distance frm Start,Direction traveled,Fruit,Obs Type,Trail,Weather,Temperature,Date,Start/End of Trail?,Category of Date,CoMMents,Loop,GIS #,Repetition
CRG,1,,MOISE,CLB,,,713,,,270,,33,1085,CCW,,h,MBA,OC,,1/25/1999,,,,,267,2
RBDH,1,,MOISE,CLB,,,713,,,90,,75,1100,CCW,,h,MBA,OC,,1/25/1999,,,,,268,2
WCH,1,,MOISE,CLB,,,718,,,270,,41,1100,CCW,,s,MBA,OC,,1/25/1999,,,,,269,2
AGP,1,,MOISE,CLB,,,736,,,0,,0,1620,CCW,,h,MBA,OC,,1/25/1999,,,,,282,2
BCH,1,,MOISE,CLB,,,742,,,90,,88,1700,CCW,,h,MBA,OC,,1/25/1999,,,,,285,2
RBDH,1,,MOISE,CLB,,,741,,,290,,99,1715,CCW,,h,MBA,OC,,1/25/1999,,,,,286,2
AGP,1,,MOISE,CLB,,,744,,,0,,0,1735,CCW,,s,MBA,OC,,1/25/1999,,,,,287,2
GCM,1,,MOISE,CLB,,,833,,,90,,5,1760,CCW,,s,MBA,OC,,1/25/1999,,,,,288,2
WTH,1,,MOISE,CLB,,,833,,,90,,21,1790,CCW,,s,MBA,OC,,1/25/1999,,,,,289,2
WNG,1,,joseph,CLB,,,635,,75,20,,25.65148997,0,ccw,,h,MBA,,,3-Feb-99,,,,T4S,239,3
GBT,1,,joseph,CLB,,,639,,,270,,90,50,ccw,,h,MBA,,,3-Feb-99,,,,,240,3
GCM,6,,joseph,CLB,,,645,,,270,,5,325,ccw,,s,MBA,,,3-Feb-99,,,,,250,3
WNG,1,,joseph,CLB,,,654,,91,115,,82.47407382,500,ccw,,h,MBA,,,3-Feb-99,,,,,253,3
BCH,3,,joseph,CLB,,,705,,,90,,7,840,ccw,,s,MBA,,,3-Feb-99,,,,,258,3
GCM,1,,joseph,CLB,,,705,,,90,,7,840,ccw,,s,MBA,,,3-Feb-99,,,,,259,3
WCH,1,,joseph,CLB,,,705,,,90,,7,840,ccw,,s,MBA,,,3-Feb-99,,,,,260,3
WNG,2,,joseph,CLB,,,723,,,90,,37,965,ccw,,s,MBA,,,3-Feb-99,,,,,266,3
WNG,4,,joseph,CLB,,,727,,,270,,12,1128,ccw,,s,MBA,,,3-Feb-99,,,,,271,3
GCM,3,,joseph,CLB,,,737,,,270,,6,1325,ccw,,s,MBA,,,3-Feb-99,,,,,272,3
WNG,1,,simon,BTM,,,634,,,150,,45,100,CW,,h,MBA,,,6-Feb-99,,,,JL,241,4
GCM,6,,simon,BTM,,,700,,,90,,48,950,CW,,s,MBA,,,6-Feb-99,,,,,263,4
BCH,3,,simon,BTM,,,700,,,90,,48,950,CW,,s,MBA,,,6-Feb-99,,,,,264,4
CRG,2,,simon,BTM,,,700,,,90,,48,950,CW,,s,MBA,,,6-Feb-99,,,,,265,4
AGP,1,,simon,BTM,,,725,,,0,,0,1125,CW,,s,MBA,,,6-Feb-99,,,,,270,4
GCM,6,,simon,BTM,,,735,,,270,,19,1625,CW,,s,MBA,,,6-Feb-99,,,,,283,4
WNG,1,,simon,BTM,,,735,,,270,,40,1625,CW,,h,MBA,,,6-Feb-99,,,,,284,4
APH,1,,simon,BTM,,,804,,75,300,,64.95207113,1800,CW,,h,MBA,,,6-Feb-99,,,,,290,1
BCH,1,,Augustine,CLB,,,1115,,,90,,21,200,CCW,,h,N6,OC,,1/21/1999,,,,,292,1
GCM,4,,Augustine,CLB,,,1102,,,270,,8,450,CCW,,s,N6,OC,,1/21/1999,,,,,297,1
BCH,1,,Augustine,CLB,,,1059,,,90,,50,570,CCW,,h,N6,OC,,1/21/1999,,,,,299,1
GT,1,,Augustine,CLB,,,1050,,,90,,22,750,CCW,,s,N6,OC,,1/21/1999,,,,EL,308,1
MM,1,,MOISE,AAD,,,631,,,90,,11,270,CCW,,h,N6,OC,,1/26/1999,,,,,293,2
APH,1,,MOISE,AAD,,,631,,,270,,23,282,CCW,,h,N6,OC,,1/26/1999,,,,K5,295,2
AGP,2,,MOISE,AAD,,,643,,,90,,46,465,CCW,,h,N6,OC,,1/26/1999,,,,,298,2
WCH,1,,MOISE,AAD,,,646,,,90,,63,610,CCW,,h,N6,OC,,1/26/1999,,,,,300,2
APH,1,,MOISE,AAD,,,646,,,270,,42,615,CCW,,h,N6,OC,,1/26/1999,,,,,301,2
RBDH,2,,MOISE,AAD,,,645,,,270,,32,630,CCW,,h,N6,OC,,1/26/1999,,,,,302,2
WNG,2,,MOISE,AAD,,,654,,,270,,16,795,CCW,,s,N6,OC,,1/26/1999,,,,,309,2
MM,1,,MOISE,AAD,,,654,,,270,,16,795,CCW,,s,N6,OC,,1/26/1999,,,,,310,2
RBDH,3,,MOISE,AAD,,,700,,,270,,28,857,CCW,,h,N6,OC,,1/26/1999,,,,,311,2
GCM,3,,MOISE,AAD,,,714,,,270,,16,1095,CCW,,h,N6,OC,,1/26/1999,,,,,316,3
WNG,1,,P.PASCAL,BCW,,,639,,,270,,58,76,CW,,h,N6,,,5-Feb-99,,,,,291,3
BWC,3,,P.PASCAL,BCW,,,658,,,90,,86,270,CW,,h,N6,,,5-Feb-99,,,,,294,3
RBDH,1,,P.PASCAL,BCW,,,737,,,90,,72,400,CW,,h,N6,,,5-Feb-99,,,,,296,3
APH,2,,P.PASCAL,BCW,,,745,,,90,,97,652,CW,,h,N6,,,5-Feb-99,,,,,306,3
WNG,1,,P.PASCAL,BCW,,,800,,,90,,55,1024,CW,,h,N6,,,5-Feb-99,,,,,315,3
WNG,4,,P.PASCAL,BCW,,,825,,,90,,47,1571,CW,,s,N6,,,5-Feb-99,,,,,318,3
CRG,2,,P.PASCAL,BCW,,,825,,,90,,47,1571,CW,,s,N6,,,5-Feb-99,,,,,319,3
APH,2,,P.PASCAL,BCW,,,831,,,90,,36,1718,CW,,s,N6,,,5-Feb-99,,,,,320,3
AGP,1,,P.PASCAL,BCW,,,831,,,90,,32,1724,CW,,h,N6,,,5-Feb-99,,,,,321,3
RBDH,3,,simon,BTM,,,656,,47,200,,16.07481652,635,CCW,,h,N6,,,11-Feb-99,,,,K5,303,4
WNG,2,,simon,BTM,,,657,,,90,,47,650,CCW,,h,N6,,,11-Feb-99,,,,,304,4
MM,1,,simon,BTM,,,657,,,90,,47,650,CCW,,h,N6,,,11-Feb-99,,,,,305,4
APH,2,,simon,BTM,,,702,,,270,,38,670,CCW,,h,N6,,,11-Feb-99,,,,,307,4
RBDH,2,,simon,BTM,,,706, ,43,40,,27.63984779,930,CCW,,h,N6,,,11-Feb-99,,,,,312,4
AGP,2,,simon,BTM,,,707,,50,320,,32.13956117,960,CCW,,h,N6,,,11-Feb-99,,,,,313,4
WNG,4,,simon,BTM,,,708,,,90,,6,1000,CCW,,s,N6,,,11-Feb-99,,,,,314,4
APH,2,,simon,BTM,,,729,,70,180,,0.000185751,1420,CCW,,h,N6,,,11-Feb-99,,,,,317,4
AGP,2,,simon,BTM,,,736,,,0,,0,1790,CCW,,h,N6,,,11-Feb-99,,,,,322,4
AGP,2,,"LUC, AAD, BTM",BCW,,,740,,,90,,63,482,CCW,,h,RDA,OC,,1/20/1999,,,,,325,1
WTH,3,,"LUC, AAD, BTM",BCW,,,748,,,0,,0,505,CCW,,s,RDA,OC,,1/20/1999,,,,,326,2
WNG,1,,"LUC, AAD, BTM",BCW,,,757,,,270,,61,602,CCW,,h,RDA,OC,,1/20/1999,,,,,327,2
RBDH,1,,MOISE,CLB,,,1128,,,270,,41,480,CCW,,h,RDA,OC,,1/25/1999,,,,,324,3
WNG,1,,joseph,CLB,,,1019,,,90,,41,330,ccw,,s,RDA,,,3-Feb-99,,,,,323,4
AGP,2,,JEAN-PIERRE,CMS,,,624,,,90,,57,160,CCW,,s,SB,PC,,1/8/1999,,,,PG,332,1
VT,1,,JEAN-PIERRE,CMS,,,626,,,90,,49,188,CCW,,h,SB,PC,,1/8/1999,,,,,333,1
GCM,5,,JEAN-PIERRE,CMS,,,626,,,270,,13,202,CCW,,s,SB,PC,,1/8/1999,,,,,334,1
GBT,3,,JEAN-PIERRE,CMS,,,630,,,90,,78,240,CCW,,h,SB,PC,,1/8/1999,,,,,335,1
AGP,2,,JEAN-PIERRE,CMS,,,632,,,270,,69,259,CCW,,h,SB,PC,,1/8/1999,,,,,338,1
CRG,7,,JEAN-PIERRE,CMS,,,642,,,270,,57,628,CCW,,s,SB,PC,,1/8/1999,,,,,343,1
MM,5,,JEAN-PIERRE,CMS,,,642,,,270,,57,628,CCW,,s,SB,PC,,1/8/1999,,,,,344,1
WNG,2,,JEAN-PIERRE,CMS,,,642,,,270,,57,628,CCW,,s,SB,PC,,1/8/1999,,,,,345,1
GCM,2,,JEAN-PIERRE,CMS,,,652,,,90,,87,762,CCW,,h,SB,PC,,1/8/1999,,,,,346,1
BWC,1,,Antoine,AAD,,,625,,,90,,77,50,CCW,,h,SB,OC,,1/21/1999,,,,,328,2
GBT,1,,Antoine,AAD,,,700,,,90,,84,250,CCW,,h,SB,OC,,1/21/1999,,,,,337,2
APH,2,,Antoine,AAD,,,636,,,90,,0,315,CCW,,h,SB,OC,,1/21/1999,,,,,340,2
GCM,6,,Thomas,BCW,,,1118,,,90,,51,100,CW,,h,SB,,,6-Feb-99,,,,,329,3
AGP,1,,Thomas,BCW,,,1125,,,90,,16,100,CW,,s,SB,,,6-Feb-99,,,,,330,3
GBT,5,,Thomas,BCW,,,1116,,,90,,10,105,CW,,s,SB,,,6-Feb-99,,,,,331,3
GBT,1,,Thomas,BCW,,,1110,,,270,,10,240,CW,,s,SB,,,6-Feb-99,,,,PG,336,3
WNG,2,,simon,CLB,,,631,,,0,,0,270,CCW,,h,SB,,,16-Feb-99,,,,PG,339,4
BCH,1,,simon,CLB,,,635,,,90,,52,410,CCW,,h,SB,,,16-Feb-99,,,,,341,4
BCH,2,,simon,CLB,,,635,,,90,,5,415,CCW,,s,SB,,,16-Feb-99,,,,,342,4
CHIMP,1,,simon,CLB,,,652,,,90,,100,925,CCW,,h,SB,,,16-Feb-99,,,,,347,4
